timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1568532917139,1679,Domain,200,OK,HomePage 1-160,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1164,0,2
1568532917139,1164,Domain-0,302,Found,HomePage 1-160,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1164,0,2
1568532918303,515,Domain-1,200,OK,HomePage 1-160,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,515,0,0
1568532917633,1190,Domain,200,OK,HomePage 1-20,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1179,0,2
1568532917633,1179,Domain-0,302,Found,HomePage 1-20,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1179,0,2
1568532918813,10,Domain-1,200,OK,HomePage 1-20,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,10,0,0
1568532917612,1347,Domain,200,OK,HomePage 1-271,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,819,0,1
1568532917612,819,Domain-0,302,Found,HomePage 1-271,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,819,0,1
1568532918431,528,Domain-1,200,OK,HomePage 1-271,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,528,0,0
1568532917618,1368,Domain,200,OK,HomePage 1-21,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,862,0,2
1568532917618,862,Domain-0,302,Found,HomePage 1-21,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,862,0,2
1568532918480,506,Domain-1,200,OK,HomePage 1-21,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,506,0,0
1568532917626,1563,Domain,200,OK,HomePage 1-157,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1056,0,1
1568532917626,1056,Domain-0,302,Found,HomePage 1-157,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1056,0,1
1568532918682,507,Domain-1,200,OK,HomePage 1-157,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,507,0,0
1568532917626,1705,Domain,200,OK,HomePage 1-109,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1196,0,1
1568532917626,1196,Domain-0,302,Found,HomePage 1-109,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1196,0,1
1568532918822,509,Domain-1,200,OK,HomePage 1-109,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,509,0,0
1568532917656,1676,Domain,200,OK,HomePage 1-57,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1164,0,2
1568532917656,1164,Domain-0,302,Found,HomePage 1-57,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1164,0,2
1568532918820,512,Domain-1,200,OK,HomePage 1-57,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,512,0,0
1568532918132,1203,Domain,200,OK,HomePage 1-313,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,696,0,2
1568532918132,696,Domain-0,302,Found,HomePage 1-313,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,696,0,2
1568532918828,507,Domain-1,200,OK,HomePage 1-313,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,507,0,0
1568532917671,1666,Domain,200,OK,HomePage 1-282,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1151,0,2
1568532917671,1151,Domain-0,302,Found,HomePage 1-282,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1151,0,2
1568532918822,515,Domain-1,200,OK,HomePage 1-282,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,515,0,0
1568532918147,1194,Domain,200,OK,HomePage 1-82,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,687,0,3
1568532918147,687,Domain-0,302,Found,HomePage 1-82,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,687,0,3
1568532918834,507,Domain-1,200,OK,HomePage 1-82,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,507,0,0
1568532918149,1194,Domain,200,OK,HomePage 1-37,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,686,0,3
1568532918149,686,Domain-0,302,Found,HomePage 1-37,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,686,0,3
1568532918835,508,Domain-1,200,OK,HomePage 1-37,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,508,0,0
1568532916042,3302,Domain,200,OK,HomePage 1-266,text,true,,5660,270,1000,1000,http://192.168.2.184/envintory-qa/Login,2099,0,152
1568532916042,2099,Domain-0,302,Found,HomePage 1-266,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,2099,0,152
1568532918141,1203,Domain-1,200,OK,HomePage 1-266,text,true,,4557,135,1000,1000,http://192.168.2.184/envintory-qa/Login,1203,0,3
